Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
I dont know what im doing,Allen Lazard,3,25,172.56,120.9,-51.66
Just-in-N-out Drive thru,Justin Jefferson,3,4,287.8,215.52,-72.28
Just-in-N-out Drive thru,Justin Herbert,3,11,328.04,165.2,-162.84
Just-in-N-out Drive thru,Nick Chubb,3,5,216.04,187.9,-28.14
Just-in-N-out Drive thru,George Kittle,3,7,169.59,97.4,-72.19
Just-in-N-out Drive thru,Josh Jacobs,3,4,210.51,194.1,-16.41
Just-in-N-out Drive thru,DK Metcalf,3,22,212.43,126.1,-86.33
Just-in-N-out Drive thru,Miles Sanders,3,19,184.65,128,-56.65
Just-in-N-out Drive thru,Nick Folk,3,7,141.25,88,-53.25
Just-in-N-out Drive thru,Brandon Aiyuk,3,16,184.92,139.4,-45.52
Just-in-N-out Drive thru,Bills D/ST,3,6,143.85,85,-58.85
Just-in-N-out Drive thru,Rex Burkhead,3,49,125.89,57.2,-68.69
Just-in-N-out Drive thru,Jarvis Landry,3,81,144.95,52.8,-92.15
Just-in-N-out Drive thru,Sterling Shepard,3,107,133.32,34.4,-98.92
Just-in-N-out Drive thru,Logan Thomas,3,34,115.61,44.3,-71.31
Just-in-N-out Drive thru,Derek Carr,3,17,260.61,154.1,-106.51
Just-in-N-out Drive thru,Raheem Mostert,3,25,130.43,107.2,-23.23
Cougar Town Zach Wilson,Deebo Samuel,3,21,261.46,130,-131.46
Cougar Town Zach Wilson,Josh Allen,3,2,374.63,247.5,-127.13
Cougar Town Zach Wilson,James Conner,3,28,240.04,98.7,-141.34
Cougar Town Zach Wilson,David Montgomery,3,27,219.92,104.5,-115.42
Cougar Town Zach Wilson,Elijah Mitchell,3,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,3,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,3,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,3,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,3,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Elijah Moore,3,100,198.34,39.6,-158.74
Cougar Town Zach Wilson,Dawson Knox,3,20,146.56,74,-72.56
Cougar Town Zach Wilson,DJ Chark,3,125,146.04,22.8,-123.24
Cougar Town Zach Wilson,Steelers D/ST,3,27,108.82,37,-71.82
Cougar Town Zach Wilson,Noah Fant,3,22,139.83,66.6,-73.23
Cougar Town Zach Wilson,Tyler Lockett,3,12,197.01,144,-53.01
Cougar Town Zach Wilson,Matthew Stafford,3,25,285.7,108.38,-177.32
Cougar Town Zach Wilson,Darrel Williams,3,82,69.6,21.1,-48.5
Couv Reigning Champ,Dalvin Cook,3,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,3,33,253.66,93.5,-160.16
